row_type,target_frame_rate,game_latency,capture_latency,convert_latency,encode_latency,network_latency,decode_latency,display_latency,dropped,state,minRTT,maxRTT,gain,bitrate,ping,in_bitrate,in_pkts,in_qual,out_bitrate,out_pkts,out_qual,Event Technology,lte_mr_events,nr_mr_events,lte_ho_attempt,lte_ho_result,lte_ho_enb_type,lte_ho_freq_type,lte_ho_band_type,scg_mobility_attempt,scg_mobility_result,scg_mobility_type,menb_ho_attempt,menb_ho_result,menb_ho_type,lte_ho_category,nr_ho_category,time_since_start
bitrate_adapter,,,,,,,,,,2.0,56.0,79.0,1.25,25452.0,,,,,,,,,,,,,,,,,,,,,,,,83.0
slow,,16.12,2.94,0.04,11.92,36.39,1.44,6.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.0
dropped_fps,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.0
dropped_fps,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.0
slow,,16.11,2.97,0.04,12.1,38.04,1.51,5.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.0
bitrate_adapter,,,,,,,,,,2.0,56.0,111.0,0.75,19089.0,,,,,,,,,,,,,,,,,,,,,,,,84.0
slow,,16.1,2.99,0.04,11.9,35.6,1.3,3.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.0
dropped_fps,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.0
bitrate_adapter,,,,,,,,,,2.0,56.0,442.0,0.75,14316.0,,,,,,,,,,,,,,,,,,,,,,,,86.0
dropped_fps,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.0
dropped_fps,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.0
dropped_fps,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.0
dropped_fps,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.0
dropped_fps,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.0
slow,,16.09,3.0,0.04,12.06,128.44,2.74,5.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.0
dropped_fps,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.0
dropped_fps,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.0
dropped_fps,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.0
dropped_fps,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.0
,,,,,,,,,,,,,,,,,,,,,,NSA,,,attempt,,inter-x2,intra,intra,attempt,,modification,attempt,,intra,nsa_menb_intra,nsa_scgm,86.504029
,,,,,,,,,,,,,,,,,,,,,,NSA,,,,success,,,,,success,,,success,,,,86.553966
slow,,16.18,2.94,0.04,12.11,44.26,1.76,6.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.0
slow,,16.17,2.96,0.04,12.08,35.12,1.49,7.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.0
target,60.0,16.18,2.94,0.04,12.04,34.11,1.18,6.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.0
bitrate_adapter,,,,,,,,,,2.0,59.0,78.0,1.25,17895.0,,,,,,,,,,,,,,,,,,,,,,,,90.0
slow,,16.16,2.99,0.04,12.12,34.45,1.52,8.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0
slow,,16.15,2.99,0.04,12.01,37.3,1.47,10.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.0
slow,,16.08,2.97,0.04,11.98,35.9,1.43,7.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.0
slow,,16.08,2.99,0.04,12.05,34.93,1.64,7.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.0
bitrate_adapter,,,,,,,,,,2.0,59.0,76.0,1.25,22368.0,,,,,,,,,,,,,,,,,,,,,,,,94.0
slow,,16.09,2.96,0.04,11.9,35.29,1.28,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.0
slow,,16.11,2.94,0.04,11.8,37.97,1.47,11.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.0
slow,,16.26,2.98,0.04,11.99,35.7,1.25,6.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.0
slow,,16.33,2.94,0.04,11.87,36.68,1.52,8.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.0
slow,,16.32,2.97,0.03,11.68,36.17,1.93,8.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.0
bitrate_adapter,,,,,,,,,,2.0,59.0,77.0,1.25,27960.0,,,,,,,,,,,,,,,,,,,,,,,,98.0
slow,,16.16,2.95,0.04,11.81,36.93,1.57,8.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.0
slow,,16.12,2.96,0.04,11.92,37.66,1.31,9.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0
slow,,16.04,2.96,0.03,11.9,36.57,1.49,9.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.0
dropped_fps,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.0
bitrate_adapter,,,,,,,,,,2.0,59.0,78.0,1.25,30000.0,,,,,,,,,,,,,,,,,,,,,,,,102.0
slow,,16.07,2.96,0.04,12.02,39.41,1.27,8.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.0
slow,,16.08,2.95,0.04,11.84,38.96,1.45,4.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.0
dropped_fps,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.0
dropped_fps,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.0
dropped_fps,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.0
slow,,16.08,2.95,0.04,11.72,36.05,1.58,2.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.0
slow,,16.09,2.97,0.04,11.92,36.3,1.62,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.0
