time_since_start,hw_avg_power,hw_avg_power_rolled,type
109.0,1449.5378854,1459.4499310622,no_logging
110.0,1281.76997964,1283.228036536,no_logging
111.0,1258.53985964,1258.9903681199999,no_logging
112.0,1193.7893127225445,1193.7778077665535,no_logging
113.0,1220.61127582,1216.425864846,no_logging
114.0,1721.37598472,1724.2187598064002,no_logging
115.0,1352.43620106,1353.5695625016,no_logging
116.0,1187.0560866,1186.8709856152,no_logging
117.0,1260.82018246,1260.4697902154,no_logging
118.0,1189.75438224,1188.3633875954001,no_logging
119.0,1391.6965297259453,1392.3486996783356,no_logging
120.0,1311.24229324,1312.5018451938,no_logging
121.0,1216.02235022,1215.8875616054,no_logging
122.0,1204.7373557800001,1204.3830275852001,no_logging
123.0,1270.13427054,1270.074001798,no_logging
124.0,1362.2516749600002,1361.4926946311998,no_logging
125.0,1322.64908234,1323.093165493,no_logging
0.0,2399.242428474305,2392.199234237079,logging
1.0,2393.98012044,2400.303850704,logging
2.0,2511.3870611,2493.7130550432003,logging
3.0,2110.61059298,2133.2712598708,logging
4.0,2045.6953730799999,2045.9475975506,logging
5.0,2083.2054830800002,2079.8368672348,logging
6.0,2147.84055482,2146.8805169504003,logging
7.0,2056.0125068413686,2054.2743607965594,logging
8.0,2117.61561648,2121.7431729422,logging
9.0,2051.11355448,2053.839315176,logging
10.0,2161.70287608,2159.4059577642,logging
11.0,2219.7363068,2217.5259793884,logging
12.0,2061.93229988,2063.9592833028,logging
13.0,2053.34165924,2051.1736375955998,logging
14.0,2104.1979119623925,2106.838025566113,logging
15.0,2172.24840048,2170.239165913,logging
16.0,2168.3503024,2171.657810876,logging
17.0,2088.88222526,2087.8668135226,logging
18.0,2039.83561296,2035.4760422548,logging
19.0,2116.0462306000004,2117.0268841186,logging
20.0,2271.1411238200003,2269.4369181744,logging
21.0,2314.54462868,2318.4419758157997,logging
22.0,2097.1568126225247,2097.2066408035607,logging
23.0,2010.77449406,2012.2594627130002,logging
24.0,2066.9560431,2066.439070967,logging
25.0,2188.50660712,2184.2413590638002,logging
26.0,2160.05060512,2160.4781216604,logging
27.0,2126.82449362,2126.1584592184,logging
28.0,2084.3211187800002,2089.399908255,logging
29.0,2087.054160872174,2086.8428273470695,logging
30.0,2158.16954834,2156.8465832944,logging
31.0,2240.7828280999997,2239.3835502586,logging
32.0,2067.10562744,2067.4572149694,logging
33.0,2067.92382752,2066.3953434482,logging
34.0,2025.8826779600001,2029.0756432946,logging
35.0,2153.05712656,2150.9377809266,logging
36.0,2260.37187588,2263.079092587,logging
37.0,2148.1266921384276,2148.477274674935,logging
38.0,1926.6172906800002,1923.5782470132,logging
39.0,2066.8018729,2067.1770714251998,logging
40.0,2167.43341036,2166.8559511352,logging
41.0,2220.1338722399996,2223.9938529604,logging
42.0,2006.6053925,2006.8314127007998,logging
43.0,2090.7369159600003,2082.9143808672,logging
44.0,2042.1543656331269,2045.9550478705742,logging
45.0,2181.26018884,2179.9989618532,logging
46.0,2202.64710236,2204.6020041436,logging
47.0,2075.94458736,2078.0316253654,logging
48.0,2095.32489948,2096.1307395119998,logging
49.0,2089.55346628,2086.1727403852,logging
50.0,2117.76699732,2117.3172224132,logging
51.0,2293.2694586,2294.5966860355998,logging
52.0,2053.8675416883375,2055.8165576233246,logging
53.0,2086.4466477200003,2086.7932424514,logging
54.0,2036.33270522,2035.8156725404,logging
55.0,2065.0316477200004,2063.7207965558,logging
56.0,2231.71316052,2231.9501385816,logging
57.0,1983.5468897599999,1983.5862133958,logging
58.0,2020.19703402,2020.8540797993999,logging
59.0,2085.774964532907,2087.7840085559114,logging
60.0,2165.0417291000003,2161.9497804692,logging
